name,median_income,median_rent,rent_burden_pct,White_share,Black_share,Hispanic_share,Asian_share,Other_share
Adams-Normandie,47672.69085437717,1383.4503020504487,34.330918284235466,9.915725915344428,11.76505693536403,64.72077169681093,8.881582019602815,4.716863432877801
Arleta,93559.29726478727,2274.0755536336846,29.14936388485303,8.9611746029646,0.5365552373482889,78.39409011239914,10.64029202063103,1.4678880266569365
Arlington Heights,50398.286279569984,1484.112828769511,29.882589811037583,7.207618047082511,16.88823368367035,53.96014394262484,19.63272386542872,2.3112804611935758
Atwater Village,73909.0491758298,1959.5915586743417,33.36542114494715,47.519527306306024,1.3469133507553948,30.58051732284308,18.076401376771795,2.476640643323705
Baldwin Hills/Crenshaw,76297.96372579521,1772.366034551172,33.883700162379526,11.76930272371078,52.60543279438934,25.925269906690605,5.643450502061874,4.056544073147393
Bel-Air,195752.71484983174,2781.3969433903103,31.386397388020303,77.23330550400286,2.7568113749953707,4.613962437753631,9.41550123655522,5.980419446692935
Beverly Crest,214991.6430935227,2802.81308421588,31.095931638105473,79.73146065579691,1.5138043760589155,6.166607746245758,5.384545102599429,7.203582119298986
Beverly Grove,100317.7452651897,2288.3772174378114,30.012563281158382,73.52081565403115,3.621453399825114,8.50521166132222,8.875647219074969,5.476872065746548
Beverlywood,183444.9080994916,2474.470271085959,12.303075217767157,73.16503399396417,0.8352532367244028,11.751264851944258,7.122501059118104,7.1259468582490655
Boyle Heights,56195.701363106935,1380.4233806670777,28.309623050894448,2.1762019141027693,1.1522089913111493,93.86181196532958,2.1615662614107247,0.6482108678457763
Brentwood,170438.36415798572,2609.5458747305865,19.68693543260439,75.41190914334922,2.065157751450209,9.26457203605344,7.648229227346087,5.610131841801035
Broadway-Manchester,58892.27449057305,1491.3187084275016,37.30208935249451,1.1107391269832507,19.726255887269915,76.11843218197528,0.7259087201282878,2.31866408364327
Canoga Park,69346.82166817214,1848.2861557612146,30.347471830810562,21.841547848565398,4.710362897945442,57.58120764162985,13.303977226219281,2.5629043856400244
Carthay,94588.12360478775,2839.693311956178,34.33695567672901,62.3536769184148,4.38689366533721,14.385098391968874,11.601505092437348,7.272825931841766
Central-Alameda,53081.95126804205,1420.8693942149414,35.036841282827694,1.26480569415422,5.401484770519975,91.60037146510945,0.7378210835364307,0.9955169866799309
